Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes,production_budget
Halloween,R,1978,47.0,"['Horror', ' Thriller']",91,7.8,220872.0,10.0
Halloween,R,1978,47.0,"['Horror', ' Thriller']",91,7.8,220872.0,0.325
Hamlet,PG-13,1996,4.41,['Drama'],242,7.7,35395.0,18.0
Hamlet,PG-13,1996,4.41,['Drama'],242,7.7,35395.0,2.0
Harry Potter and the Goblet of Fire,PG-13,2005,290.01,"['Adventure', ' Family', ' Fantasy']",157,7.7,526477.0,150.0
Harry Potter and the Half-Blood Prince,PG,2009,301.96,"['Action', ' Adventure', ' Family']",153,7.6,454227.0,250.0
Harry Potter and the Prisoner of Azkaban,PG,2004,249.36,"['Adventure', ' Family', ' Fantasy']",142,7.9,528890.0,130.0
Hedwig and the Angry Inch,R,2001,3.03,"['Comedy', ' Drama', ' Music']",95,7.7,31288.0,6.0
Hell or High Water,R,2016,26.86,"['Action', ' Crime', ' Drama']",102,7.6,196007.0,12.0
Her,R,2013,25.57,"['Drama', ' Romance', ' Sci-Fi']",126,8.0,518765.0,23.0
Hidden Figures,PG,2016,169.61,"['Biography', ' Drama', ' History']",127,7.8,191366.0,25.0
High Noon,PG,1952,9.45,"['Drama', ' Thriller', ' Western']",85,7.9,95069.0,0.73
Home Alone,PG,1990,285.76,"['Comedy', ' Family']",103,7.6,448997.0,15.0
Hot Fuzz,R,2007,23.64,"['Action', ' Comedy', ' Mystery']",121,7.8,450606.0,16.0
Hotel Rwanda,PG-13,2004,23.53,"['Biography', ' Drama', ' History']",121,8.1,327631.0,17.5
How to Train Your Dragon,PG,2010,217.58,"['Animation', ' Action', ' Adventure']",98,8.1,647595.0,165.0
How to Train Your Dragon 2,PG,2014,177.0,"['Animation', ' Action', ' Adventure']",102,7.8,296685.0,145.0
Hunt for the Wilderpeople,PG-13,2016,5.2,"['Adventure', ' Comedy', ' Drama']",101,7.9,103069.0,2.5
I Am Sam,PG-13,2001,40.31,['Drama'],132,7.7,140623.0,22.0
In Bruges,R,2008,7.76,"['Comedy', ' Crime', ' Drama']",107,7.9,381573.0,15.0
Incendies,R,2010,6.86,"['Drama', ' Mystery', ' War']",131,8.3,140330.0,6.8
Inception,PG-13,2010,292.58,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,1983249.0,160.0
Incredibles 2,PG,2018,608.58,"['Animation', ' Action', ' Adventure']",118,7.6,236486.0,200.0
Indiana Jones and the Last Crusade,PG-13,1989,197.17,"['Action', ' Adventure']",127,8.2,672569.0,48.0
Indiana Jones and the Temple of Doom,PG,1984,179.87,"['Action', ' Adventure']",118,7.6,434762.0,28.0
Inglourious Basterds,R,2009,120.54,"['Adventure', ' Drama', ' War']",153,8.3,1220210.0,70.0
Inside Man,R,2006,88.51,"['Crime', ' Drama', ' Mystery']",129,7.6,329492.0,50.0
Inside Out,PG,2015,356.46,"['Animation', ' Adventure', ' Comedy']",95,8.1,587412.0,175.0
Interstellar,PG-13,2014,188.02,"['Adventure', ' Drama', ' Sci-Fi']",169,8.6,1432116.0,165.0
Into the Wild,R,2007,18.35,"['Adventure', ' Biography', ' Drama']",148,8.1,556856.0,20.0
Iron Man,PG-13,2008,318.41,"['Action', ' Adventure', ' Sci-Fi']",126,7.9,916044.0,186.0
JFK,R,1991,70.41,"['Drama', ' History', ' Thriller']",189,8.0,137522.0,40.0
Jaws,PG,1975,260.0,"['Adventure', ' Thriller']",124,8.0,532315.0,12.0
Jurassic Park,PG-13,1993,402.45,"['Action', ' Adventure', ' Sci-Fi']",127,8.1,837448.0,63.0
Kick-Ass,R,2010,48.07,"['Action', ' Comedy', ' Crime']",117,7.6,515932.0,28.0
Kingsman: The Secret Service,R,2014,128.26,"['Action', ' Adventure', ' Comedy']",129,7.7,576191.0,94.0
Kubo and the Two Strings,PG,2016,48.02,"['Animation', ' Action', ' Adventure']",101,7.8,114181.0,55.0
Kung Fu Hustle,R,2004,17.11,"['Action', ' Comedy', ' Fantasy']",99,7.7,123935.0,20.0
L.A. Confidential,R,1997,64.62,"['Crime', ' Drama', ' Mystery']",138,8.2,518638.0,35.0
La La Land,PG-13,2016,151.1,"['Comedy', ' Drama', ' Music']",128,8.0,483343.0,20.0
Lage Raho Munna Bhai,PG-13,2006,2.22,"['Comedy', ' Drama', ' Romance']",144,8.1,41500.0,2.7
Lawrence of Arabia,Approved,1962,44.82,"['Adventure', ' Biography', ' Drama']",228,8.3,259509.0,15.0
Lethal Weapon,R,1987,65.21,"['Action', ' Crime', ' Thriller']",109,7.6,231096.0,15.0
Letters from Iwo Jima,R,2006,13.76,"['Action', ' Adventure', ' Drama']",141,7.9,151506.0,13.0
Life of Pi,PG,2012,124.99,"['Adventure', ' Drama', ' Fantasy']",127,7.9,567289.0,120.0
Lion,PG-13,2016,51.74,"['Biography', ' Drama']",118,8.0,204471.0,12.0
Little Miss Sunshine,R,2006,59.89,"['Comedy', ' Drama']",101,7.8,429346.0,8.0
Little Women,PG,2019,108.1,"['Drama', ' Romance']",135,7.9,114431.0,15.0
"Lock, Stock and Two Smoking Barrels",R,1998,3.9,"['Action', ' Comedy', ' Crime']",107,8.2,521294.0,1.35
Logan,R,2017,226.28,"['Action', ' Drama', ' Sci-Fi']",137,8.1,621647.0,127.0
Lord of War,R,2005,24.15,"['Action', ' Crime', ' Drama']",122,7.6,288659.0,42.0
Lost in Translation,R,2003,44.59,"['Comedy', ' Drama']",102,7.7,399451.0,4.0
